id,command,last_name,first_name,rank,shield_no,active
927294,P A T U,OLIVERI,GIUSEPPE,Police Officer,26105,false
927295,CD OFF,OLIVO,YOELIS,Police Officer,06031,false
927296,069 PCT,OLSEN,DAVID,Police Officer,16559,false
927297,ESU,IPPOLITO,JOHN,Police Officer,25317,false
927298,TB,ONEILL,DEBRA,Police Officer,24793,false
927299,DA SQD NY,OPALICK,KEITH,Detective,05323,false
927300,QNS CT,ORFANOS,JAMES,Lieutenant,00000,false
927301,P A T U,ORSCHER,CHRISTIAN,Police Officer,04566,false
927302,P A T U,JANNIERRE,CELESTE,Police Officer,25365,false
927303,P A T U,ORTIZ,MARITZA,Police Officer,00000,false
927304,P A T U,ORTIZ,NANCY,Police Officer,22457,false
927305,M E L D,OSBACK,ADOLPH,Detective,04921,false
927306,007 PCT,OSHEA,BRIAN,Police Officer,04142,false
927307,PSA 2,OXLEY,WILLIAM,Police Officer,22489,false
927308,067 PCT,BREINBERG,CARMEN,Police Officer,06049,false
927309,BX SVS,KELLY,STEPHEN,Sergeant,02057,false
927310,MTS PCT,PACHECO,LUIS,Police Officer,04577,false
927311,110 PCT,BEVERS,MICHELLE,Sergeant,03977,false
927312,P A T U,PACKER,GREGORY,Police Officer,09071,false
927313,049 PCT,PADILLA,JESUS,Police Officer,26156,false
927314,P A T U,PALEGA,PAUL,Police Officer,31934,false
927315,PBBS,PALUMBO,JAMES,Chiefs and other ranks,00000,false
927316,083 PCT,PANCIR,STEVEN,Police Officer,23039,false
927318,GVSD Z2,PANOPOULOS,KONSTANTINOS,Detective,02851,false
927320,JTTF,PARASKEVOPOULOS,CHRISTOS,Detective,04504,false
927321,P A T U,PARKE,BRIAN,Police Officer,09078,false
927322,INT CIS,PASQUALE,CHRISTOPHE,Sergeant,04418,false
927323,HWY CIS,PASSARELLA,FRANK,Detective,03284,false
927324,P A T U,PASSENANT,CARLEEN,Police Officer,29163,false
927325,P A T U,PASTRANA,JUAN,Police Officer,23984,false
927326,084 PCT,PATRICK,CLEVE,Police Officer,15605,false
927327,069 PCT,PAUL,THEODORE,Police Officer,20996,false
927328,P A T U,PAUL,VIRGINIA,Police Officer,09168,false
927329,TB DT01,PAULINO,JESUS,Police Officer,09142,false
927330,CRJ BUR,PAULINO,VANESSA,Detective,03208,false
927331,P A T U,PAYAMI,SHERMAN,Police Officer,31963,false
927332,CCCS,PEDONE,MICHAEL,Detective,05836,false
927333,047 PCT,PEGUERO,EULOGIO,Police Officer,31990,false
927334,HARBOR,KINSELLA,MEGHANN,Detective,03143,false
927335,BM SEC,PENALO,JASHUA,Police Officer,02682,false
927336,101 PCT,NARSINGH,CHRISTINE,Police Officer,01793,false
927337,CW TRAFF TF,PERALTA,OMAR,Police Officer,23101,false
927338,BX SU ECT,PERDOMO,CYNTHIA,Detective,00564,false
927339,DB LPS,PEREZ,ELLIOT,Detective,02087,false
927340,WARRSEC,PEREZ,IRMA,Police Officer,26164,false
927341,YOUTH STRAT,PEREZ,LORRAINE,Captain,00000,true
927342,DBSI,PEREZ,MELISSA,Police Officer,10127,false
927343,078 PCT,PEREZ,NELSON,Police Officer,19047,false
927344,TB BXTF,PEREZ,NELSON,Police Officer,06749,false
927345,PSA 4,PEREZ,SAUL,Police Officer,28157,false
927346,MTN PCT,PERILLO,RONALD,Detective,05470,false
927347,P C O,PESALE,MICHAEL,Detective,03598,false
927348,PSA 5,PETERS,ANTHONY,Sergeant,03997,false
927349,P A T U,PETERSON,DUSTIN,Police Officer,07809,false
927350,TB DT04,PETERSON,REX,Police Officer,01712,false
927351,P A T U,PETRIZZI,CHRISTOP,Police Officer,23914,false
927353,PSA 5,NAVARRO,YOLANDA,Police Officer,09214,false
927354,MTS DET,PETTIT,BRIAN,Detective,05252,false
927355,CW T TF,PHILLIP,ASHTON,Police Officer,01818,false
927356,TB DT01,PHILLIP,KYNA,Police Officer,09144,false
927357,P A T U,PICCOLI,RICHARD,Police Officer,11117,false
927358,CW TRAF TF,PICHARDO,CRISTOBAL,Police Officer,06195,false
927359,PUBLIC SECUR,PIERRE,RICHARD,Detective,00364,false
927360,P A T U,PIETRANICO,DANIEL,Police Officer,25773,false
927361,P A T U,PISANO,JAMES,Police Officer,08368,false
927362,028 PCT,PITTS,BYRAN,Detective,00245,false
927363,122 PCT,PIZZO,ANTHONY,Lieutenant,00000,false
927364,075 DET,LAHENS,RUDY,Detective,02065,false
927365,HQ SEC,POLANCO,RUBEN,Police Officer,01843,false
927366,043 PCT,POLIDORO,RICHARD,Police Officer,10405,false
927367,CW TRAF TF,POLITE,SHAWNA,Detective,04748,true
927368,P A T U,POLLINA,JOHN,Police Officer,28211,false
927369,DB GLD,POLLOCK,BRIAN,Detective,00902,false
927371,PSA 4,PORTI,DARYL,Police Officer,24805,false
927372,P A T U,POTTER,JOHN,Police Officer,21342,false
927373,CW TRAFF TF,LEIGH,PATRICE,Police Officer,26055,false
927374,P A T U,PRILL,KEITH,Police Officer,05604,false
927375,P A T U,PROM,TOM,Police Officer,17923,false
927376,043 PCT,PROVENZANO,MATTHEW,Police Officer,14363,false
927377,TB DT30,PROVIDENCE,LYNDON,Police Officer,19061,false
927378,P A T U,LOVETT,MARICLAR,Police Officer,26710,false
927379,SRG 3,PUGH,RODNEY,Detective,01923,true
927380,MTS PCT,QUIC,EDSON,Police Officer,02043,false
927381,TRN BUR,QUINONES,MARLENE,Sergeant,02192,false
927382,P A T U,QUINTANA,MIGUEL,Police Officer,00000,false
927383,MTN PCT,QUINTERO,JANICE,Police Officer,07825,false
